gene	HD.mean	Uninvolved.mean	HD.pct	Uninvolved.pct	avg_log2FC	p_val	p_val_adj
NAIP	0.19188971570499946	0.6757222828592891	0.108	0.269	0.49153232033935085	2.0346563688778136e-6	0.04038996357859348
CD48	0.9635903857480038	1.7600959671354313	0.355	0.47	0.4912244216278906	0.0011113558064461192	1
AR	0.1140763193152348	0.5605597305337074	0.044	0.233	0.48621551030673876	6.2188625652658525e-9	1.2345064078309243e-4
UGCG	13.126041522086275	18.734953347679188	0.951	0.982	0.48239586650650557	8.86709253481744e-11	1.76020653908661e-6
IL7R	0.2789672095342476	0.7815408608840797	0.039	0.083	0.47814629653435686	0.040668345318036904	1
FYN	0.4067167861051102	0.9515294247754988	0.192	0.368	0.4722733151893755	4.432256779019594e-6	0.08798472932031796
VAMP5	0.5738971574084196	1.1818344780801362	0.227	0.435	0.47120038328014435	5.853348390773604e-7	0.011619481890524681
USO1	1.120269457917819	1.934386305311412	0.384	0.557	0.46881118734606253	2.899135834053366e-5	0.5755074544179336
NUS1	1.1594555258255677	1.976324022887768	0.394	0.583	0.46286399217500707	6.87753489034533e-5	1
SERPINB10	0.05391779278851176	0.4512637903765772	0.025	0.091	0.46154743718156555	0.0018520702879591512	1
FBXO9	0.5341279571925136	1.11028924814348	0.241	0.439	0.4600219375069923	2.2624297830614072e-6	0.04491149362355199
SH3PXD2A	0.11018383578502239	0.5233232235587785	0.044	0.215	0.4564234971156433	4.921495408964736e-8	9.769660536335897e-4
LRRC75A	0.928186554983035	1.6415792030915537	0.227	0.308	0.4541560259429752	0.028293355890247986	1
KIF5B	3.0218687232204204	4.502945937879264	0.695	0.848	0.4523381636164072	1.1138353030410427e-8	2.2110744600667737e-4
MEGF9	0.09287273421192598	0.4935521978740661	0.054	0.178	0.4506222510539629	1.6632922942869482e-5	0.3301801533389021
CFD	0.16800955827778474	0.5923355825261031	0.054	0.138	0.44709233351073874	0.001368317119611498	1
LYSMD2	0.7515297535227302	1.3848390592686075	0.325	0.52	0.4452764136761178	2.02166806899191e-6	0.040132132837558405
IQGAP1	3.3357572594137723	4.893606183118893	0.714	0.864	0.44286667270216107	3.767603105847781e-8	7.479068925418431e-4
GNAQ	1.2454850528402857	2.0514833750885595	0.424	0.603	0.44248361163375427	1.1953659526249005e-5	0.237292095255569
GIMAP4	0.010112483010666303	0.3699654035905911	0.01	0.099	0.4396235045663306	3.478051546133198e-5	0.6904280124229011
CD36	1.9209929296215078	2.945971006368268	0.547	0.67	0.4339214896045458	9.86968601142534e-5	1
EPHB1	1.3469361792169723	2.169421913391046	0.419	0.599	0.4334411131917806	9.742213390836159e-5	1
DNAJC3	1.9799135605752234	3.023986941888613	0.542	0.733	0.43335514098720207	1.7684492067372963e-6	0.03510548520294207
BAZ1A	1.4220887144703451	2.266540945954579	0.473	0.636	0.43151201600987066	1.6628173226191984e-5	0.33008586671313705
SERPINB2	0.02615192944351446	0.38307194530214356	0.02	0.055	0.4306318567295641	0.03918838866543172	1
CENPE	0.2177373082753925	0.6386446359990042	0.069	0.126	0.4283000719492281	0.02608239581046251	1
ANTXR2	1.710576158433705	2.6399125287737073	0.502	0.696	0.42530423867922273	4.121121724666935e-6	0.08180838735636332
MARCHF7	1.1002916121312	1.8198979694162942	0.424	0.613	0.4250533126182232	4.049888559868784e-6	0.08039433780195523
TXNIP	5.793885213986834	8.098217055103907	0.714	0.901	0.4213470098628016	4.2056153440922003e-8	8.348567019557427e-4
TNKS2	1.1654832966597464	1.8997902206097232	0.369	0.615	0.421259490897433	2.422738984080546e-7	0.0048093791572982915
MBP	2.3817874361961433	3.5249443758951187	0.64	0.8	0.4201140762474207	1.669325905191984e-6	0.033137788543966075
CAT	3.0819795929405314	4.456475162809467	0.675	0.87	0.41870031322471313	2.9077924820352714e-5	0.5772258856088217
USP1	1.0416829318669565	1.727019917978981	0.291	0.494	0.41756640087991226	9.745054811523434e-6	0.19344908306355169
NBPF14	0.2497446504444318	0.6681440345646662	0.118	0.281	0.41661051096079355	2.5990990769405897e-6	0.051594715776347645
PTPRC	4.841657545748902	6.782340753483613	0.783	0.919	0.41382636494020186	2.1816597966731942e-5	0.4330812862375958
FAM111A	0.49919188761125927	0.9969952617470155	0.187	0.332	0.4136458582597823	1.1570766135830625e-4	1
IGLC3	0.035439732533903305	0.3785892893909643	0.02	0.109	0.4129491274491568	9.699259493309275e-5	1
SERINC3	1.4464312657692364	2.2557454821808824	0.468	0.658	0.41230917157019054	4.733927776544826e-5	0.9397320029219134
TLN1	4.424735245201425	6.19876544378123	0.798	0.923	0.40819678360685696	5.020695640802069e-9	9.966582916556187e-5
HLA-DQB1	4.133729261556184	5.805671768532875	0.764	0.858	0.40673035884800557	3.243728987953996e-4	1
CCR5	0.3599846828547135	0.8018794556281291	0.177	0.247	0.4059120962962443	0.020948549143865576	1
SLC5A3	0.5135142764135958	1.0037972423793748	0.217	0.356	0.4048342507432142	3.1517606641887487e-4	1
PIAS1	0.8914746254930055	1.50407364878183	0.35	0.553	0.40476557236912836	1.193347880216564e-6	0.02368914877017901
CTSH	0.4672186228983634	0.9380215861586189	0.143	0.206	0.4015007841420083	0.0380474974511796	1
AKIRIN1	1.1105802877364752	1.7864902177673414	0.433	0.621	0.40080937738829436	1.8298380387159596e-5	0.36324114906550514
C6orf62	1.7045040418674082	2.5701543764357386	0.507	0.706	0.4006224053397154	7.222618433840689e-6	0.14337619853017153
TM9SF2	2.9932727878018373	4.2699462292645896	0.754	0.87	0.40021661323004865	4.211044285201203e-7	0.008359344010552909
BCL7A	1.8922958540016066	2.8099915499686507	0.567	0.745	0.39757266438414685	3.357653828696275e-5	0.6665278615344976
MYO9A	1.5406806385654273	2.346225961951815	0.419	0.567	0.39731982889039696	0.0014859125712077975	1
CMKLR1	0.6222919598900227	1.1348775060537943	0.227	0.354	0.3961198127817043	0.0012954124842672644	1
TXLNA	0.4665537553213213	0.927757298833405	0.212	0.421	0.3944934774334282	1.4566530037199558e-6	0.028916018776844844
FLNA	0.7927637509599651	1.353241097935336	0.281	0.395	0.3924637539023621	0.0024912463207553124	1
RUNX1	1.6527061811478339	2.4806788776813486	0.507	0.632	0.3919038305457905	4.924457115237317e-4	1
ITPRID2	0.43321077918719125	0.8790652657864838	0.197	0.346	0.39076437769783057	1.1707867967868015e-4	1
TTC3	4.1089947242955684	5.691902684215505	0.764	0.872	0.3893770194298116	4.260782853188547e-5	0.8458080041864584
SNX18	1.1745170425864324	1.844612557795132	0.389	0.601	0.3875371519757025	4.307456379717499e-6	0.08550731659377207
TMF1	1.0732396026698081	1.7120076390632835	0.379	0.559	0.38747438498619147	4.466408934773936e-5	0.8866268376419741
TOP2B	2.4946535290671017	3.5708835864921156	0.601	0.763	0.3873236467734722	7.48257816781901e-6	0.14853665920937517
SCN9A	2.8351291855228284	4.015277603188732	0.65	0.791	0.38705438296987116	2.711031112064876e-6	0.053816678605599855
PLAAT3	1.052974661134963	1.6832990124329892	0.325	0.411	0.38629200866974367	0.011200215295864038	1
NBPF10	0.17348014724069383	0.5337576683991958	0.084	0.229	0.3862771222439155	8.514959576119286e-6	0.16903046254554396
DST	0.906801349510395	1.4914723279341355	0.305	0.399	0.38584399894533417	0.017315651629951672	1
PTBP3	4.062635070943993	5.608045690805174	0.783	0.903	0.38433516773541676	1.602006112260425e-7	0.0031801423334481696
GSE1	0.1547986923943941	0.5062985877079687	0.079	0.211	0.38336639909221504	2.8758743453387972e-5	0.5708898162932047
HEXB	0.558642609427694	1.02534359834577	0.256	0.474	0.3778765194211008	2.3295173968407833e-7	0.0046243249844686385
GRSF1	1.6221430050489607	2.4057771259726453	0.517	0.69	0.3772376595089957	1.1826292684680619e-4	1
SAMD9L	0.3309857819259634	0.7285367300397152	0.128	0.215	0.3770561001165396	0.005678821395096612	1
BIRC6	1.515644898568258	2.2632758644747133	0.458	0.642	0.3753926625627386	6.402065596287239e-5	1
SERPINB8	0.6375079978718522	1.1240736583253519	0.281	0.453	0.3753318435447278	3.820338517310458e-5	0.758375399071299
ELF1	1.8450599728991175	2.689299235581556	0.517	0.717	0.374887745038178	4.466088242886186e-6	0.08865631770953368
SLC25A37	0.3245261161870976	0.716875415533097	0.128	0.255	0.37430906431787536	2.899485127059698e-4	1
ZEB2	4.7549379689811735	6.458092121860136	0.778	0.913	0.3740062392983896	3.855647064592622e-6	0.07653844987922814
XRN2	1.316422737916703	2.0002205489827687	0.443	0.628	0.3731699950149865	7.3966467698912355e-6	0.14683083502911093
SLFN11	0.5686437807067865	1.0301071128213635	0.241	0.374	0.37203807753216334	9.59141264212951e-4	1
MGST1	0.2697488181994961	0.642613471156404	0.143	0.285	0.3714499036645141	4.138904501058201e-5	0.8216139325050635
KDELR2	1.3260225062116258	2.008848327750922	0.424	0.638	0.3713463279079927	1.6888538643800033e-6	0.033525438061807446
NCBP2AS2	0.598794429059992	1.066328934904606	0.256	0.474	0.3700854814539849	7.088512725677121e-7	0.014071406611741654
RIPOR2	2.511654443407526	3.5358466987613792	0.665	0.787	0.36922099467168756	7.997247770916151e-5	1
ARL6IP1	1.3322900722890967	2.0116963204110387	0.463	0.615	0.3688290744898195	3.157901701132328e-4	1
KCTD12	0.9347317530245447	1.4947987710431418	0.305	0.431	0.3667899001089161	0.0027975160845504074	1
KLF4	1.1248944403556196	1.7382232087263632	0.276	0.352	0.36584888056124276	0.06365060474295844	1
CCR1	0.19556142913374444	0.540365490023618	0.069	0.223	0.3655844477602099	2.314476830091339e-6	0.04594467955414317
CEP350	1.5765397516239419	2.318813649464325	0.448	0.634	0.3652327737415262	5.910072471888144e-5	1
KIF11	0.14083342952232372	0.4693070241549242	0.054	0.117	0.3650477283483543	0.009100565842423778	1
DIAPH1	1.4558514203485304	2.1605736651121603	0.419	0.601	0.363963160979776	5.3014727347345985e-5	1
CLEC12A	0.4914444928735525	0.9192487931718742	0.187	0.296	0.3638314550734353	0.0035128254714409555	1
ANKRD17	0.7718567617943158	1.2766194753209936	0.315	0.5	0.36163119284475687	1.8737772661335833e-5	0.3719635251001776
NCAPD3	0.23981488047767	0.5926529740406722	0.128	0.247	0.3613072250629232	3.4377776042765094e-4	1
LNPEP	1.566584141585886	2.292897877845012	0.483	0.682	0.3595082126366407	6.18386181219299e-5	1
SUDS3	0.42756587734936297	0.8314884048560242	0.202	0.385	0.35945924474675606	6.508925015117253e-6	0.1292086704750926
CDH23	0.6230784688445445	1.0818303086117462	0.217	0.395	0.3591197287312172	5.4453058891496906e-5	1
LYST	0.36512877057093956	0.750613681441769	0.118	0.217	0.35882370576751255	0.0035380665792332615	1
GADD45A	0.48412476071736776	0.9031382691509989	0.163	0.298	0.358768006834131	4.576834581715457e-4	1
IGLL1	1.2320944807903251	1.861553254404268	0.138	0.19	0.35840036083971816	0.10055703797270991	1
EPS8L2	0.2933359552456964	0.656703998400504	0.113	0.247	0.35721878435030885	9.44971537026063e-5	1
PPFIA1	0.27667224175170063	0.6345211222799708	0.133	0.259	0.3564798290809801	3.1995214513582505e-4	1
IL10RA	1.0179777844697473	1.5826282393452966	0.325	0.526	0.35592969512030814	1.044487402366185e-5	0.20734119424371136
PIK3R1	1.2636935860065124	1.8944810216323202	0.394	0.605	0.35462600930661514	5.006984109333663e-7	0.009939364155438255
TGOLN2	1.853680171752355	2.6472899437148096	0.537	0.721	0.35400123943018946	1.1376047218491573e-6	0.02258259133342762
PLEKHD1	0.04966130063947786	0.3403458407853132	0.025	0.087	0.3526814165086428	0.002776877962751163	1
MYCL	0.4464467544393349	0.846314893380858	0.192	0.352	0.3521354122374517	6.087687109905593e-5	1
NCF2	0.12184186666788818	0.43177360975897655	0.074	0.142	0.3519340636003168	0.009473709367928589	1
ZNF148	0.7206835329414948	1.1959179415197518	0.291	0.464	0.3518423616002083	1.257329030843352e-4	1
TMEM165	0.9189524445378024	1.447822672532643	0.369	0.538	0.35118008962706915	3.445393130463545e-5	0.6839449903283183
DCAF12	0.5009034803533121	0.9134525397278513	0.217	0.35	0.3503469140542582	8.447629920112531e-4	1
DR1	1.256198147984484	1.875256109545196	0.438	0.638	0.3497966915693185	6.276355044031972e-6	0.12459192397907867
PCBP2	4.333664674898231	5.796902571745444	0.803	0.917	0.34975031691291036	3.2205661817306765e-7	0.006393145927353566
CHCHD7	0.9033773782022037	1.4252780893792485	0.365	0.516	0.34958855059855976	1.3010307001523196e-4	1
HLA-DRA	35.96857066753659	46.079696914193526	1	1	0.3488057677059446	3.783371855572196e-12	7.510371470496366e-8
GNLY	0.31496166240671264	0.6743660859074644	0.025	0.101	0.3485942568981851	7.359126936819371e-4	1
CX3CR1	0.011640676131335398	0.287656282754648	0.01	0.097	0.34805059144009387	4.664723769500119e-5	0.9259943154834687
IFNAR1	1.5984749116365935	2.3056601428726786	0.512	0.666	0.3472732780100565	2.497213857302293e-4	1
BTN3A3	0.09225058537598992	0.3894573044826499	0.054	0.172	0.34721762482859475	3.407050757574054e-5	0.6763336458860255
CTSC	5.661318591026325	7.469102286221264	0.823	0.941	0.3464012705031738	4.345674839596502e-4	1
H1-0	0.5221325909740349	0.9327937296679802	0.148	0.257	0.3445936438313657	0.002344296859832415	1
LMAN1	2.322730294768326	3.216742915416698	0.576	0.763	0.3437598721151216	5.6154103331535e-6	0.11147151052343013
FCGR2A	0.03565884958403923	0.3141898686498875	0.02	0.111	0.34362487384215573	7.553095987539281e-5	1
GZMH	0.12484615759722494	0.42579747118813843	0.049	0.14	0.3420413661586884	6.75157680411467e-4	1
TPP1	1.9437242465282165	2.7308311389037248	0.576	0.735	0.3418545306162606	4.3836961877548136e-5	0.870207530231208
FEZ2	1.2130420154070838	1.8044126899266741	0.453	0.575	0.3416678266547084	0.003055941421090795	1
GRAMD1B	1.5286447742680582	2.204299690152794	0.463	0.611	0.34164470526525137	5.874192953284939e-4	1
MIS18BP1	2.7018814356855243	3.6865350559963224	0.665	0.751	0.34026298520491816	3.463016736942211e-4	1
HACD2	0.47937036881352224	0.8711800646179815	0.207	0.33	0.3389651119502307	0.002296373765879352	1
MAVS	0.4476832654357535	0.8303751748660326	0.197	0.338	0.3383933965406788	3.068602359763961e-4	1
BCL2	0.5673137975907528	0.9814574663118983	0.163	0.259	0.33826794300228546	0.0046579398954192585	1
MACF1	2.061948085314184	2.8654743408131846	0.507	0.607	0.33619563882397685	0.0036357066238145975	1
SPN	1.8913078926615785	2.6440666457929254	0.463	0.658	0.3338270963809895	9.916243464776476e-6	0.19684734901927783
TOP1	2.6384316335626523	3.583400564537384	0.586	0.791	0.3331016724031619	1.189812057394478e-5	0.23618959151337784
RAD21	2.023391232180998	2.808523316308022	0.522	0.676	0.33306404977343007	0.002249151599781879	1
MYO1E	1.0012833812441193	1.5206249537299048	0.374	0.431	0.3328560071699447	0.08303590407831041	1
LARP4B	0.9424907818780075	1.4462467214780643	0.34	0.498	0.33266216500071266	3.1425007235011735e-4	1
CLCN3	0.5088450214818416	0.8996854532527289	0.197	0.346	0.3323159298513608	2.2161098359664482e-4	1
CCNL2	0.7197321482424467	1.1641654321524035	0.271	0.435	0.33162690546368434	1.8683900194762626e-4	1
RHOU	0.206782705044119	0.5178760634386832	0.094	0.186	0.33088807180782487	0.001971330478783598	1
CDK5RAP3	0.5099451284457854	0.8985552096798193	0.236	0.368	0.3304058300830045	6.879991053036237e-4	1
FAM78A	0.08538138057307992	0.3642969279532131	0.059	0.198	0.3299556042323191	3.095695264701422e-6	0.06145264669958793
H1-2	2.89692230557176	3.895536967605026	0.562	0.628	0.3291319424683503	0.02166515058140606	1
RB1CC1	1.1089704136790732	1.648977848839062	0.36	0.551	0.32889692372416923	6.485483974620581e-5	1
EFCAB14	1.1879089036121133	1.7478798738753694	0.443	0.583	0.3287662658527257	0.0010525660023512034	1
ALKBH5	0.5395709299109235	0.9325704863545744	0.241	0.403	0.3279926986759716	4.462505452494073e-5	0.8858519573745984
VPS35	1.036767618199192	1.5565038161823448	0.394	0.518	0.3278907919181697	0.0025247435782202263	1
BAZ1B	1.3734026023486074	1.9767348499346677	0.394	0.575	0.3267738735882726	9.230772110275698e-5	1
ZBTB20	0.693525282000591	1.1238249517626748	0.286	0.362	0.32663533791769317	0.02939852963166892	1
BCL11A	8.976612555065268	11.510215738379227	0.877	0.962	0.32648471577904736	1.2007075160969646e-5	0.23835244902040845
HERC4	0.3172398925660178	0.6505533244002933	0.172	0.304	0.32543163876086373	2.6193755506751946e-4	1
IRF2BP2	6.872597690442013	8.862936416465567	0.862	0.949	0.32517747833180266	1.7857337713549004e-6	0.03544860109516613
LRRC58	0.7528878836556991	1.1959861825477551	0.251	0.462	0.32513525380500374	1.2280178542797066e-5	0.24377382425306454
ZKSCAN1	1.1000260731888996	1.6307249106258352	0.365	0.522	0.3250531568034778	1.1271361573840108e-4	1
ARHGAP9	1.4186944535753527	2.0291982456791984	0.438	0.607	0.3247074688188216	4.0843508722053935e-4	1
MON1B	0.3950683151013018	0.7466619551497563	0.167	0.285	0.3242646483438556	8.603340131834303e-4	1
CGGBP1	1.105343237876872	1.6356188461063805	0.429	0.571	0.32408629034489356	4.2501180375156296e-4	1
DDX17	7.7556999634468395	9.960366405899416	0.941	0.964	0.32400160568519	1.7150477029822003e-8	3.404541195189966e-4
GIGYF2	0.612196209698737	1.0178941306002636	0.251	0.397	0.3238231496290246	6.723572474446222e-4	1
PBRM1	1.9713397324679807	2.718210527123427	0.547	0.704	0.32349489150743693	1.4022595623857227e-4	1
TYK2	0.34163538001498356	0.6783926239338902	0.163	0.304	0.3230876032436975	1.7943767213414978e-4	1
OSBPL11	0.6429360561699173	1.0549002046884188	0.276	0.419	0.32279200074388703	2.728241282284043e-4	1
PARP8	0.597180277416589	0.9975936383791876	0.251	0.342	0.32273596966666007	0.01607214790613168	1
ATXN7L3B	1.8846933683768579	2.607817871761431	0.542	0.713	0.3227085367694915	3.757416768773788e-5	0.7458848027692846
PTEN	2.190213533472958	2.9839658957301403	0.601	0.753	0.32055230499280807	7.458404857240417e-5	1
CCAR1	1.1474956094984916	1.68052040694504	0.414	0.555	0.3198579366442502	0.0026284298443036134	1
CAB39	0.5970520019963909	0.9923711700732905	0.286	0.385	0.3190751507921862	0.012389842150654053	1
TBCC	0.7496953961983774	1.1817462890149768	0.31	0.472	0.3183795575567997	1.4077321413417742e-4	1
RGS16	0.07274122023114822	0.3374914689970362	0.039	0.115	0.3182275960069596	0.0014957268635683591	1
KAT6A	0.9837903751188725	1.4699976100879257	0.345	0.504	0.3162500600641047	9.55777551702771e-4	1
NRDC	2.32525344949422	3.137857867831831	0.606	0.802	0.31541978416096605	2.3336876175903096e-5	0.46326032896785235
STAT3	1.0760371905726427	1.5827822672840777	0.419	0.565	0.31509373838669963	3.3071679029504837e-4	1
CD14	0.009243570594308645	0.25507555216353106	0.01	0.071	0.314499817009858	9.949576240444664e-4	1
KNL1	0.16556527480025382	0.44921307958176787	0.059	0.115	0.31423993017299573	0.022877148525541555	1
BPTF	3.1723305012117247	4.187030404589259	0.67	0.822	0.31405538427689006	1.2250991730187643e-5	0.2431944368359549
ATP11A	0.11353917084786949	0.3841388136737873	0.064	0.19	0.31383632789322113	2.2085352728985136e-5	0.4384163370230839
FCRLA	0.8420154246405509	1.2894537847886731	0.251	0.314	0.3137183005785309	0.11334871503223261	1
MSN	1.6365519140202478	2.2768536604321197	0.453	0.626	0.3136588418012425	3.9062162118353664e-4	1
TRAM1	5.441791607438004	7.001256688567807	0.852	0.925	0.3127646193415665	3.843605633564119e-4	1
TNFAIP2	0.07964138456079334	0.34056552653083594	0.039	0.095	0.3122895556158432	0.011135730329947208	1
FAM13B	0.4853444182553449	0.8434733865265529	0.197	0.389	0.3116290903496344	9.790274871429548e-6	0.19434674647274797
NCOA4	1.9514684324214389	2.662505925978671	0.537	0.65	0.3113981823838423	0.0031131194429781617	1
APAF1	0.45872838411233086	0.8099258741381157	0.197	0.332	0.31121933487544584	4.8385373252320883e-4	1
HLA-DOA	0.7220221659867323	1.1357188806860568	0.305	0.389	0.31061804787313774	0.017472597555338167	1
SELL	6.171630299455449	7.887683614728141	0.872	0.951	0.30950634174805236	5.954318605488133e-7	0.011819917863754493
SMARCC1	1.5414670786222568	2.1481871860840314	0.483	0.587	0.30885978101126343	0.0051011055272067495	1
ATL3	0.5524235651677236	0.9218333564708985	0.236	0.377	0.30796100649307645	3.161844510413102e-4	1
CPEB4	0.31291053000680247	0.625189877307702	0.133	0.277	0.30783967845527377	9.140504345631339e-5	1
RNF144B	0.6360037994351172	1.0250931618737826	0.241	0.415	0.3078121801210265	3.6455227564004196e-5	0.7236727223730473
NIPBL	2.03660710373307	2.7573667509794775	0.567	0.682	0.3072616869946545	0.001756948937967819	1
C12orf57	4.442030925518122	5.73065987743128	0.739	0.828	0.3066027993119449	7.449001264678939e-4	1
HDGF	1.2898907876562833	1.8318640878730104	0.468	0.609	0.30647323341755484	7.353674128848585e-4	1
AMIGO2	0.3807431358220104	0.7064004662296153	0.172	0.291	0.3055113097068457	0.0013150910350620527	1
GOPC	0.5199120752486517	0.878264013785376	0.222	0.393	0.30541199807040675	9.55613069728129e-5	1
PLBD1	0.027850083282052563	0.27000457889398016	0.015	0.069	0.30520384243127063	0.003530137598294251	1
CD4	3.286698963820709	4.296313620868474	0.586	0.686	0.3051214472388821	0.0023282167058536526	1
SYNE1	0.2627291106026247	0.560071167986991	0.113	0.211	0.3050666686790242	0.002273559230997252	1
ARHGAP30	1.8098007603462936	2.471192252102508	0.552	0.68	0.30496343682253624	0.004191896372554982	1
PGM2	0.2053198897913371	0.48798169890034704	0.128	0.247	0.3039406964339437	3.7886703244139583e-4	1
MRPS6	0.9182174912083103	1.366668985936462	0.36	0.498	0.30309163251447757	0.001301657621178617	1
GTF2I	3.2922911135640596	4.295717545497955	0.754	0.854	0.30307824955985074	0.001842223614412597	1
DIPK2A	1.2059270951065564	1.720794347815047	0.384	0.524	0.30264280280507116	0.0018569486394606313	1
