gene	H_mean	P_mean	M_mean	H_pct	P_pct	M_pct	HP_avg_log2FC	HP_p_val	HP_p_val_adj	HM_avg_log2FC	HM_p_val	HM_p_val_adj
IL6R	0.7135698905783999	1.7783459656226948	0.3068403088077766	0.3	0.463	0.163	0.6972212224095963	4.696907324602458e-6	0.09323830730068339	-0.39076000151947654	1.1952371643924933e-8	2.3726652950355385e-4
CENPF	0.6285834727072086	1.639620174342827	1.4620712169770163	0.158	0.158	0.178	0.6967126826117799	0.8112064890366106	1	0.596056174278269	0.362746935879107	1
IGLC2	0.13677233183564602	0.8343362299701422	0.971562788900154	0.059	0.129	0.093	0.6903147601035197	0.004661969175869953	1	0.7932469150262557	0.080093830392618	1
TCL1A	4.778608349051537	8.323763212049576	27.95401852782575	0.35	0.616	0.978	0.6901902728613241	6.608008651064667e-9	1.311755797322847e-4	2.324061084305298	1.261646302765286e-90	2.504494075619369e-86
CTSG	0.13650655096700787	0.8197937834031231	0.025685316502872046	0.064	0.119	0.02	0.6791689753585105	0.022548242888065218	1	-0.14775594063094832	6.7915395276103195e-6	0.13481885116259246
HLA-DPA1	13.472125779074009	22.118883341126857	19.630830334505365	0.946	0.984	0.987	0.6757948645308822	4.123174515893246e-20	8.184913731499682e-16	0.5114601912666252	4.736687562063851e-20	9.40279847945295e-16
APLP2	1.0038246176766152	2.1729783640643827	0.42312827602823416	0.335	0.572	0.228	0.6630814399041505	5.8208773166490426e-8	0.0011555023561280015	-0.49424619543883686	3.819087221362752e-6	0.07581270043127199
HRH2	0.1360790540653375	0.793104948829921	0.1861064299869729	0.064	0.315	0.114	0.6583967020531577	3.3703030512906195e-12	6.690388587117009e-8	0.06279635536144118	0.03618789862040241	1
SCARA5	0.34201370042230855	1.094911360822511	1.4816935801876516	0.153	0.277	0.295	0.6424898025170511	1.9847428625182595e-4	1	0.8865580403842954	2.653565781906573e-7	0.005267593433662738
NOTCH2	0.6674278051163326	1.576425598526427	0.3752162190220791	0.276	0.519	0.198	0.6277466330819641	3.793369551245977e-9	7.530217896178389e-5	-0.2774552353681743	9.574333189373972e-4	1
DTX4	0.40653043446929726	1.1585369978668787	0.2570211990412525	0.143	0.329	0.146	0.6179130511785671	1.0008239500603327e-6	0.019867356232647664	-0.16237898051027883	0.7913343623907592	1
NRP1	1.3592708774412374	2.6040587311465795	1.1060416889732676	0.355	0.626	0.402	0.6112814515177478	6.875778325089109e-10	1.364910755313439e-5	-0.16399476827854143	0.8181114423338363	1
CST3	18.91664310834796	29.168465683856017	9.477171330173782	0.97	0.929	0.927	0.5990668194808881	1.101344243029685e-5	0.2186278456838228	-0.9265136980720592	2.3990220420659323e-28	4.762298655705082e-24
SHTN1	1.0463186924167371	2.0898191760924005	3.123920640919873	0.291	0.513	0.76	0.5944915634749233	2.827759346713244e-8	5.61338507916046e-4	1.0110561232143354	5.4974144083948924e-37	1.0912917342104701e-32
CLEC10A	0.02844240230510158	0.5516993362525705	0.001858715122756679	0.015	0.077	0	0.5933880436838188	0.001388659216586836	1	-0.037786253825095685	5.0935426050501334e-24	1.011119142528502e-19
MPO	0.3277112924596269	0.994325312772684	0.002119755763584641	0.089	0.115	0.001	0.5869592898940836	0.31194780378798037	1	-0.4057418246452276	1.886252322039335e-128	3.744399484480284e-124
MLEC	2.9715404402049037	4.9638922505021155	3.425638972129776	0.685	0.875	0.827	0.586555499107462	1.1325616549549049e-12	2.2482481412509817e-8	0.1566980073496007	1.284711685349597e-4	1
LITAF	1.2860751623563214	2.4161935027082677	0.8492063976113966	0.448	0.671	0.376	0.5795168577852658	4.3912181842844526e-8	8.717007217623067e-4	-0.30583189754627316	8.494259441039465e-4	1
HLA-DRB1	15.871880073941533	23.991315616851658	13.981447611980476	0.956	0.996	0.979	0.5668061056209215	2.733535644534042e-18	5.426341607964527e-14	-0.17087969926232693	0.05332755030044448	1
NBPF20	0.10915194702148566	0.6389647272553989	0.04293323568598832	0.049	0.131	0.028	0.5633277865963089	0.0011576456892075048	1	-0.08868201343447826	0.05625918004465169	1
LST1	0.7231573496149308	1.5388142453360174	0.453038965208613	0.276	0.396	0.2	0.5591003958874912	0.0025499210615290958	1	-0.2463254577380759	9.451388023176535e-4	1
ATP2B4	1.2946305215491742	2.3771950545667178	1.3951970690984914	0.394	0.657	0.534	0.5575636351548932	9.79112565924997e-10	1.943636354617712e-5	0.061973734839183114	0.006982876972567895	1
PLAUR	0.29303706545589786	0.8765385935038151	1.3955426293367383	0.123	0.335	0.419	0.537310330259881	1.442011103961623e-8	2.862536242474218e-4	0.8902415196372464	4.6762359217866563e-17	9.282795928338691e-13
DMXL2	0.764270777267381	1.5508396215921367	0.20148083369915454	0.246	0.428	0.107	0.5319001952659252	4.715582984928952e-6	0.09360903783382464	-0.5538371318741179	1.3035028838154188e-11	2.5875835746619877e-7
SRPX	0.09164477290221286	0.5686638422584027	0.7609613981228781	0.03	0.238	0.373	0.523032750369225	1.1120492516465958e-10	2.207528969443657e-6	0.6896790427011296	8.21523291635095e-22	1.630805886224827e-17
FBP1	0.3258659696725151	0.8970000882256534	0.22216006663122762	0.163	0.366	0.123	0.516784803474149	7.77036041439411e-8	0.0015424942458613748	-0.117461028723299	0.06367695555049423	1
MKI67	1.3682357508333387	2.3835344024822236	1.1382056690674844	0.138	0.17	0.134	0.5147183532719002	0.247817512614978	1	-0.14641361944349862	0.8102239238351516	1
PAFAH2	0.31329620829670446	0.8722949302943579	0.5801451773724593	0.143	0.277	0.294	0.5116153644971415	7.151524577287752e-5	1	0.2669667672811186	9.160324378272161e-6	0.1818415992330807
CCR2	0.8311464535276203	1.6103837976229318	0.8975338891749094	0.286	0.426	0.377	0.5115147566486635	6.639597552722933e-4	1	0.05070246378717147	0.09373013022826446	1
TPX2	0.14755339597431422	0.6349835695634292	0.49880500853960996	0.069	0.125	0.125	0.5107148535273837	0.02040188458452073	1	0.3857011010747785	0.011876737709007447	1
CAPN2	0.24515355631655597	0.7677538402807097	0.03796329710346792	0.118	0.281	0.022	0.5055937224045552	2.649442456202725e-6	0.05259408219808029	-0.26265351770291323	2.6327702019443515e-19	5.226312127879732e-15
S100A10	3.4760811901206763	5.336612003630046	2.0945935346673545	0.325	0.424	0.619	0.5014754756315876	0.008526606904658283	1	-0.5331667006278342	2.1772858779525828e-11	4.322130196323672e-7
CD48	0.9635903857480038	1.7680316967751457	1.7208214661875647	0.355	0.471	0.471	0.4953664553714531	9.75283781789843e-4	1	0.4704938941888318	4.6196728762034256e-5	0.917051262655142
NAIP	0.19188971570499946	0.6801029268724967	0.3982226291006088	0.108	0.271	0.219	0.49529886751541713	1.6749253955622126e-6	0.03324894402730548	0.23023325027306474	1.893839806393129e-4	1
BLOC1S1	0.9722159675888101	1.7744205914515685	2.0136929236004817	0.31	0.566	0.66	0.4923689684948874	3.492462525132369e-9	6.932887358640265e-5	0.6122130034103682	3.2917842653703445e-19	6.534520945186671e-15
CDK6	0.951679492717968	1.7441884459777364	0.3639528317216226	0.34	0.519	0.175	0.4916634049826363	8.189121087511553e-6	0.16256224270819183	-0.5166904503283719	2.17793940848764e-11	4.323427519788814e-7
AR	0.1140763193152348	0.5594272866336394	0.07601163409986271	0.044	0.232	0.033	0.48516821667284254	6.5794078655441074e-9	1.3060782553891607e-4	-0.050029676670139855	0.33762073147981275	1
UGCG	13.126041522086275	18.7430708733509	10.310851992815635	0.951	0.982	0.968	0.48298916439448236	7.870563712164309e-11	1.562385602501737e-6	-0.32072492630524074	5.462368082217449e-8	0.0010843346880009858
IL7R	0.2789672095342476	0.7799619904580513	1.8133102828528296	0.039	0.083	0.372	0.4768671574865255	0.041251755223942026	1	1.1361639031293476	9.263791170334028e-21	1.8389551852230078e-16
USO1	1.120269457917819	1.9419699332578417	1.1349369484648026	0.384	0.558	0.495	0.47253487871533784	2.5039749119020486e-5	0.49706405976167567	0.010727470483805623	0.05853720229557039	1
FYN	0.4067167861051102	0.9496071431092857	0.5701091492965609	0.192	0.368	0.298	0.4708515416096864	4.774468230119659e-6	0.09477796883610534	0.15856483354350853	0.003714999859732884	1
VAMP5	0.5738971574084196	1.1794469336799744	4.841702231318065	0.227	0.434	0.78	0.46962080219609725	6.407487618086211e-7	0.012719503670662937	1.892201121345065	8.62016833064203e-58	1.7111896153157492e-53
LRRC75A	0.928186554983035	1.655500100071553	0.5802539560030915	0.227	0.309	0.266	0.4617389425370896	0.025200345013455774	1	-0.2872599780364369	0.874849486201867	1
NUS1	1.1594555258255677	1.9723314491041564	0.73250781124156	0.394	0.582	0.375	0.46092739749742395	7.581536581183993e-5	1	-0.31781750520869023	0.019537004879701895	1
SERPINB10	0.05391779278851176	0.45035214635561444	0.03096410677833994	0.025	0.091	0.022	0.46064089104999406	0.0018876338081605089	1	-0.03183825949487007	0.7756943089405073	1
FBXO9	0.5341279571925136	1.108046239561372	0.8772465952499149	0.241	0.438	0.425	0.45848769364588393	2.469441241971092e-6	0.04902087809436815	0.2912824974027435	6.668510520169724e-6	0.1323766023358892
SH3PXD2A	0.11018383578502239	0.5222660049253264	0.2338009357183278	0.044	0.214	0.128	0.45542188854242155	5.17882172876588e-8	0.0010280479013773148	0.15264000836346886	5.042835277254309e-4	1
KIF5B	3.0218687232204204	4.499594816932835	2.5494571633578174	0.695	0.848	0.754	0.45145934011044275	1.1315785789512379e-8	2.2462966370761023e-4	-0.17944958544048872	0.5235519019306973	1
MEGF9	0.09287273421192598	0.49255512272684576	0.12185030570924463	0.054	0.178	0.079	0.44965880582624174	1.7287616936794673e-5	0.34317648381231103	0.037638117259676224	0.19440761011499205	1
CFD	0.16800955827778474	0.5911389449856463	0.05977355544786565	0.054	0.137	0.032	0.4460077430032614	0.0014050192659892204	1	-0.14042755508125454	0.07255673937941422	1
GNAQ	1.2454850528402857	2.0588304432980653	0.5106253203877688	0.424	0.604	0.26	0.44595301903055384	1.0253398559479806e-5	0.20354021480423362	-0.5721212321564981	4.901115551619994e-11	9.729204481520849e-7
LYSMD2	0.7515297535227302	1.3820414046034184	0.8966834320998288	0.325	0.519	0.44	0.4435829946757508	2.2471847158071046e-6	0.04460886379348684	0.11482498858291845	0.01069824599106316	1
IQGAP1	3.3357572594137723	4.883720110021683	1.930970676782934	0.714	0.863	0.652	0.4404446302748548	4.7032190580967353e-8	9.336360152227829e-4	-0.5641884455529578	1.2072490098377854e-9	2.3965100094289877e-5
GIMAP4	0.010112483010666303	0.3692179987348525	0.05748445960039656	0.01	0.099	0.024	0.43883620620233316	3.559560957072816e-5	0.7066084455885246	0.06599376086390957	0.19040631192926386	1
CD36	1.9209929296215078	2.9457652893238815	0.4197005975627921	0.547	0.671	0.125	0.43384627498796235	9.354364390964835e-5	1	-1.0403635169195962	1.8700678943262987e-72	3.7122717770271355e-68
CENPE	0.2177373082753925	0.6431001843493033	0.5595663815379419	0.069	0.127	0.124	0.43221750112843244	0.022382250600468372	1	0.35727459246962107	0.017662544629222506	1
BAZ1A	1.4220887144703451	2.2677078148908265	2.0115655786839235	0.473	0.636	0.658	0.43202728137768887	1.5281278938935008e-5	0.30334866821679884	0.3149790228676397	3.5785637648890333e-6	0.0710380692968122
EPHB1	1.3469361792169723	2.165039242858943	0.3351869389304396	0.419	0.598	0.173	0.4314447766777638	1.0759829200605666e-4	1	-0.81367414217076806	1.442174665103406e-25	2.862860927696771e-21
DNAJC3	1.9799135605752234	3.0178778773595454	1.8400015161966015	0.542	0.731	0.647	0.4311632317736005	2.0583731719385937e-6	0.04086076583615302	-0.06914820377243003	0.3773285225713675	1
SERPINB2	0.02615192944351446	0.38229806258436144	7.10940426005666	0.02	0.055	0.735	0.42982438663685646	0.039615221897153254	1	2.9836749523274517	1.0225868675750237e-72	2.0299371908231794e-68
TXNIP	5.793885213986834	8.116331457853965	8.032518078154679	0.714	0.901	0.937	0.42421653667135795	3.589040847926739e-8	7.12460498721937e-4	0.4102374716226369	4.145102819011624e-14	8.228443606019976e-10
ANTXR2	1.710576158433705	2.634579372149922	0.7093011897662749	0.502	0.695	0.336	0.4231888689470975	4.7281821929281115e-6	0.09385914471181594	-0.6652680017163908	6.4032767022646015e-12	1.271114458166546e-7
MARCHF7	1.1002916121312	1.8162214078619179	1.348772269724968	0.424	0.612	0.546	0.42317111051450196	4.573953723124619e-6	0.09079755535774682	0.16143907331596008	0.0070289688762166895	1
MBP	2.3817874361961433	3.529314755214107	2.6215315833042667	0.64	0.8	0.7	0.4215068185952324	1.4695052299576011e-6	0.02917114831988834	0.0984463850711379	0.1531092413256294	1
CAT	3.0819795929405314	4.464709401284987	1.8078030924607216	0.675	0.871	0.645	0.42087580933421576	2.5397160968807796e-5	0.5041590423918035	-0.5400520284170491	3.3544576213452026e-9	6.658933824132362e-5
NBPF14	0.2497446504444318	0.6725399881703882	0.13640513585988773	0.118	0.283	0.075	0.42040735261615997	2.157187504395855e-6	0.04282232914976212	-0.1370161725026159	0.018695387138651008	1
TNKS2	1.1654832966597464	1.8959522605680874	1.0141355589692707	0.369	0.614	0.463	0.41934877566240303	2.750908369450927e-7	0.005460828204197035	-0.10415334833553325	0.27746693511356163	1
PTPRC	4.841657545748902	6.808859231730675	3.2880465011333215	0.783	0.919	0.77	0.41873401976958835	1.882137243920834e-5	0.3736230642907248	-0.4465685584885146	9.725552826044792e-8	0.0019306194914981516
SERINC3	1.4464312657692364	2.2684256392031257	1.0786042550275488	0.468	0.659	0.483	0.4179171246259139	4.066154843888301e-5	0.8071723980602666	-0.23464381767656572	0.09556916128864264	1
USP1	1.0416829318669565	1.7235309888517505	1.2205091230544676	0.291	0.493	0.423	0.41571944576532993	1.0663680681727211e-5	0.21168472521296688	0.12113760311609689	0.0021516466206956252	1
CCR5	0.3599846828547135	0.8117509762001816	0.18377492602161596	0.177	0.248	0.107	0.41379426879275444	0.018383632201536104	1	-0.20047034138576275	6.706846883204295e-4	1
FAM111A	0.49919188761125927	0.9949811299051023	0.6258270939464685	0.187	0.331	0.253	0.41219004891548283	1.2279742063594538e-4	1	0.11707190016722213	0.0523919557904636	1
IGLC3	0.035439732533903305	0.3778244625437099	0.5075012784331537	0.02	0.109	0.066	0.412148513298095	9.9382831950031e-5	1	0.541307537625221	0.007048383223991507	1
TLN1	4.424735245201425	6.19198842484308	3.201640060653265	0.798	0.923	0.781	0.406837970520884	5.5990558933476496e-9	1.111468585388442e-4	-0.3687170875066843	1.3721913672356428e-4	1
HLA-DQB1	4.133729261556184	5.805434617765726	4.712076360642934	0.764	0.859	0.808	0.4066800857510162	3.0802546223363827e-4	1	0.15456445260269858	0.07022801072175162	1
SLC5A3	0.5135142764135958	1.0017693691624467	0.49774168676892755	0.217	0.356	0.246	0.403373482184214	3.3459765084937175e-4	1	-0.015615286972160969	0.5522099603330903	1
C6orf62	1.7045040418674082	2.576453624440503	1.8084395153747508	0.507	0.707	0.653	0.4031656807537911	6.332520452753501e-6	0.12570686350760976	0.05435046371670316	0.04306168589461745	1
PIAS1	0.8914746254930055	1.5010351161580284	0.8154778960281722	0.35	0.552	0.398	0.4030138915596382	1.33721110745909e-6	0.026544977694170396	-0.058727489858672044	0.6228649278002291	1
CTSH	0.4672186228983634	0.9361265930552681	0.7463336429563052	0.143	0.206	0.347	0.4000894300872383	0.03909804517316109	1	0.25136950919492274	3.964880361196968e-8	7.8706840050121e-4
TM9SF2	2.9932727878018373	4.26706581480021	2.366441838520214	0.754	0.871	0.742	0.39942785836299577	4.3099130723312777e-7	0.008555608439884819	-0.24609009796399595	0.0015478768238086779	1
AKIRIN1	1.1105802877364752	1.7828811466203367	1.1338464635460568	0.433	0.62	0.504	0.3989395829593847	2.0497917528663568e-5	0.4069041608615005	0.01626127241768649	0.39577462301126326	1
BCL7A	1.8922958540016066	2.8043147993626536	2.3925947749184213	0.567	0.743	0.732	0.39542149759645207	3.8372356597011784e-5	0.761729650807281	0.2311560015007108	7.808569275594059e-4	1
MYO9A	1.5406806385654273	2.341486111523629	0.8474361412115238	0.419	0.566	0.393	0.39527483658895335	0.0016091541235177399	1	-0.45902229896408564	0.00982399202084088	1
TMF1	1.0732396026698081	1.7257862563746529	1.2935629620109517	0.379	0.56	0.52	0.3947855798532598	3.8296800140855354e-5	0.7602297795961196	0.14575997250228134	0.002887257978405783	1
CMKLR1	0.6222919598900227	1.1325848242233825	0.267277576450935	0.227	0.354	0.152	0.3945696451320275	0.001367512541830835	1	-0.3564424386143736	3.4725433488437757e-4	1
FLNA	0.7927637509599651	1.356253017069602	1.0433521598432896	0.281	0.396	0.446	0.3943090822050972	0.0022427799679491183	1	0.18902816044049953	1.060855044534795e-4	1
TXLNA	0.4665537553213213	0.9258830416640446	0.6631560760173414	0.212	0.42	0.348	0.3930901385134068	1.5827047358961427e-6	0.03141827171227433	0.18162378088109443	5.727733879511368e-4	1
TOP2B	2.4946535290671017	3.58665263839332	2.7073842045324765	0.601	0.764	0.721	0.3922922223607863	6.451132546776242e-6	0.12806143218605517	0.08535704181255399	0.006295164213055415	1
SNX18	1.1745170425864324	1.852377546847655	1.1418462096518465	0.389	0.602	0.473	0.39146993680772124	3.6906704325766376e-6	0.07326349875707883	-0.021265340059067883	0.2715875393377383	1
TTC3	4.1089947242955684	5.697641109516467	4.663563604503714	0.764	0.873	0.866	0.3906136258980557	3.824001295526201e-5	0.7591024971749062	0.14909956139387326	0.001819525021916647	1
RUNX1	1.6527061811478339	2.4756674052011842	0.21110230513548467	0.507	0.63	0.112	0.38982514514070266	5.450748184046616e-4	1	-1.1307100710448659	3.80892987164514e-77	7.561106688202767e-73
ITPRID2	0.43321077918719125	0.8772893763606525	0.49083738736542554	0.197	0.345	0.265	0.38940025353875896	1.2445178861637186e-4	1	0.056784569184068046	0.06467278375207347	1
NBPF10	0.17348014724069383	0.5326793700791975	0.05990727225765815	0.084	0.228	0.039	0.38526248820221753	8.932939003301923e-6	0.17732777215454648	-0.14690419798788729	7.915406154592416e-4	1
SCN9A	2.8351291855228284	4.007165931263098	1.3967482264073368	0.65	0.79	0.516	0.3847190899097559	3.2168083642452644e-6	0.06385686283863275	-0.6782015161747881	6.004280128147089e-10	1.1919096482384786e-5
PLAAT3	1.052974661134963	1.679898408367468	0.03583306648479761	0.325	0.41	0.025	0.3844624898607607	0.01181981257292784	1	-0.9870049593153871	2.2900249405318826e-145	4.54592850944984e-141
PTBP3	4.062635070943993	5.608207784639494	3.0825841326040098	0.783	0.903	0.721	0.3843705562774691	1.5024261302965288e-7	0.0029824661112516394	-0.3106089844761799	3.8464350539790646e-4	1
DST	0.906801349510395	1.4884592525241676	0.8522253132692723	0.305	0.398	0.346	0.3840982121159391	0.018174498521070687	1	-0.04216417196013755	0.5733421174705178	1
GSE1	0.1547986923943941	0.5052757622782557	0.46024017636426895	0.079	0.21	0.225	0.38238642977358517	3.0024384388538817e-5	0.596014054496884	0.33841861901146586	9.371900494857552e-7	0.018604159672341726
SLC25A37	0.3245261161870976	0.7211729219045393	0.5766274843453165	0.128	0.257	0.291	0.3779157584366516	2.4594248513942687e-4	1	0.2516359801797168	1.2765358203510862e-6	0.025340512569789413
GRSF1	1.6221430050489607	2.406662709696735	1.6528111167956028	0.517	0.691	0.624	0.37761274605215855	1.0999491540869976e-4	1	0.016719157261239515	0.24852694945209894	1
HEXB	0.558642609427694	1.0232721971369907	0.5621550492830755	0.256	0.473	0.303	0.3764002615278791	2.5782184809281665e-7	0.0051180215064905036	0.002889522922208898	0.2880203074320738	1
SAMD9L	0.3309857819259634	0.7270649386658975	0.6411635268792742	0.128	0.214	0.279	0.3758271701366444	0.0058742902926159045	1	0.3037595342652008	5.468058309921766e-6	0.10854642551025698
MGST1	0.2697488181994961	0.6470610016579003	0.4442164150493098	0.143	0.287	0.205	0.37535085748902636	3.476284077994485e-5	0.6900771523226852	0.18505126201064442	0.028784214577836906	1
ELF1	1.8450599728991175	2.6896120473670417	2.3036820585079725	0.517	0.717	0.707	0.37501006444130325	4.213691658018099e-6	0.08364599310331729	0.21577635641979165	9.471565374853571e-5	1
XRN2	1.316422737916703	2.0019254389229997	1.9092133408240313	0.443	0.628	0.663	0.3739895806542357	6.7175858018206465e-6	0.13335079575194164	0.3288259914388354	8.205402539533239e-8	0.0016288544581227434
SERPINB8	0.6375079978718522	1.1218028024499471	1.3182983506459924	0.281	0.453	0.537	0.37378862727234263	4.1437913860681684e-05	0.8225840280483921	0.5019598432126674	1.241436743508233e-11	2.464376079538193e-7
BIRC6	1.515644898568258	2.2587035900010273	1.4155060049657477	0.458	0.64	0.56	0.37336984147430075	7.14003864158433e-5	1	-0.05820609434014701	0.29714903450284985	1
ZEB2	4.7549379689811735	6.450791210643039	6.332482171647985	0.778	0.913	0.919	0.3725932576532949	4.1570574978933375e-6	0.08252174839068065	0.34921105166853517	2.784686961505861e-7	0.0055278820872852845
RIPOR2	2.511654443407526	3.5459407927198234	1.9913971689473116	0.665	0.788	0.654	0.3724280076757869	6.994003182670509e-5	1	-0.23127320225349823	0.008453507949483675	1
KDELR2	1.3260225062116258	2.0105357878350554	2.073632290142002	0.424	0.638	0.68	0.3721552114456119	1.5323372741271526e-6	0.030418427228698107	0.40231642339586204	1.7845878247463353e-10	3.54258529090395e-6
SLFN11	0.5686437807067865	1.0280260883510173	0.5349966815147899	0.241	0.374	0.274	0.3705584395815721	0.0010162672047987309	1	-0.03103429821387893	0.611735302182508	1
KLF4	1.1248944403556196	1.7462031257568031	0.0687465502809121	0.276	0.354	0.036	0.3700471664524936	0.058171147788995264	1	-0.9913935118396203	1.0915049375097667e-71	2.166746451450638e-67
ARL6IP1	1.3322900722890967	2.0133780269746473	1.2972367468593056	0.463	0.616	0.5	0.36963443875345114	2.8987986231976496e-4	1	-0.02194266237671183	0.8306879471310695	1
NCBP2AS2	0.598794429059992	1.0641747350361117	1.2450320524119105	0.256	0.473	0.551	0.3685806510519425	7.803410030688457e-7	0.015490549251919656	0.48920130926693184	1.1553510505372375e-13	2.2934873704214702e-9
CEP350	1.5765397516239419	2.3256206565134763	1.6090689811483965	0.448	0.634	0.553	0.3681887631595868	5.1645223696018e-5	1	0.01835926940294308	0.134965960276734	1
DIAPH1	1.4558514203485304	2.1677003488973767	1.032338458144248	0.419	0.602	0.477	0.3672125890793534	4.643362888841856e-5	0.9217539670639969	-0.27228523826329076	0.6539106823033135	1
SUDS3	0.42756587734936297	0.8413001093690303	0.9377730691633975	0.202	0.386	0.431	0.3671674648432359	5.433574002010752e-6	0.10786187751391543	0.44080151837409753	6.343716674927123e-10	1.2592911971397832e-5
NCAPD3	0.23981488047767	0.5972014348393719	0.47983660073363865	0.128	0.248	0.247	0.3654215484421261	2.916342565790667e-4	1	0.25575152263004924	1.1647164003676636e-4	1
KCTD12	0.9347317530245447	1.491778975546085	0.2040832438522292	0.305	0.43	0.125	0.36504255162982857	0.002971630174365755	1	-0.6844523033246876	1.6678292307286985e-17	3.3108078059195393e-13
CCR1	0.19556142913374444	0.5392738425690249	0.2385434342638835	0.069	0.222	0.126	0.3645616562804181	2.428073211630653e-6	0.04819968132408009	0.050507086239207466	0.02039412366106206	1
KIF11	0.14083342952232372	0.4683589291566314	0.36265034653849665	0.054	0.117	0.112	0.3641165047024003	0.009294179891544385	1	0.25682630084605296	0.008589093993517953	1
CLEC12A	0.4914444928735525	0.9173917249028402	1.1333467134787854	0.187	0.295	0.421	0.36243482519427883	0.0036700706305413623	1	0.5160927111159598	4.687388276611538e-10	9.304934467901563e-6
DCAF12	0.5009034803533121	0.9288443996641408	0.3936149847308922	0.217	0.352	0.224	0.36190556198384216	7.273875406505193e-4	1	-0.10677063381400431	0.8562457254758823	1
ANKRD17	0.7718567617943158	1.2740404460779209	0.9172530221838588	0.315	0.499	0.435	0.35999593415177045	2.0531237927454445e-5	0.4075656040978982	0.11369972393641481	0.005595250565655861	1
CDH23	0.6230784688445445	1.0796447928367732	0.15974900799543	0.217	0.394	0.088	0.3576043847806444	5.8266815968950963e-5	1	-0.4850583660205811	1.0137443504604954e-11	2.0123839100991294e-7
LYST	0.36512877057093956	0.749097290166129	0.22957555413716482	0.118	0.216	0.127	0.3575734937768269	0.0036606693571774574	1	-0.15093474165623127	0.9151465626154315	1
LNPEP	1.566584141585886	2.288265760920073	2.0394052611361495	0.483	0.681	0.662	0.3574773458821354	6.92768811221104e-5	1	0.24433623250615466	9.590195782409008e-5	1
GADD45A	0.48412476071736776	0.9013137473951384	0.502708333667137	0.163	0.297	0.255	0.3573842445054044	4.807403745071272e-4	1	0.018012476519753795	0.014769702855205671	1
