gene	healthy_mean	premalignant_mean	healthy.pct	premalignant.pct	avg_log2FC	p_val	p_val_adj
TPX2	0.14755339597431422	0.6349835695634292	0.069	0.125	0.5107148535273837	0.02040188458452073	1
CAPN2	0.24515355631655597	0.7677538402807097	0.118	0.281	0.5055937224045552	2.649442456202725e-6	0.05259408219808029
S100A10	3.4760811901206763	5.336612003630046	0.325	0.424	0.5014754756315876	0.008526606904658283	1
CD48	0.9635903857480038	1.7680316967751457	0.355	0.471	0.4953664553714531	9.75283781789843e-4	1
NAIP	0.19188971570499946	0.6801029268724967	0.108	0.271	0.49529886751541713	1.6749253955622126e-6	0.03324894402730548
BLOC1S1	0.9722159675888101	1.7744205914515685	0.31	0.566	0.4923689684948874	3.492462525132369e-9	6.932887358640265e-5
CDK6	0.951679492717968	1.7441884459777364	0.34	0.519	0.4916634049826363	8.189121087511553e-6	0.16256224270819183
AR	0.1140763193152348	0.5594272866336394	0.044	0.232	0.48516821667284254	6.5794078655441074e-9	1.3060782553891607e-4
UGCG	13.126041522086275	18.7430708733509	0.951	0.982	0.48298916439448236	7.870563712164309e-11	1.562385602501737e-6
IL7R	0.2789672095342476	0.7799619904580513	0.039	0.083	0.4768671574865255	0.041251755223942026	1
USO1	1.120269457917819	1.9419699332578417	0.384	0.558	0.47253487871533784	2.5039749119020486e-5	0.49706405976167567
FYN	0.4067167861051102	0.9496071431092857	0.192	0.368	0.4708515416096864	4.774468230119659e-6	0.09477796883610534
VAMP5	0.5738971574084196	1.1794469336799744	0.227	0.434	0.46962080219609725	6.407487618086211e-7	0.012719503670662937
LRRC75A	0.928186554983035	1.655500100071553	0.227	0.309	0.4617389425370896	0.025200345013455774	1
NUS1	1.1594555258255677	1.9723314491041564	0.394	0.582	0.46092739749742395	7.581536581183993e-5	1
SERPINB10	0.05391779278851176	0.45035214635561444	0.025	0.091	0.46064089104999406	0.0018876338081605089	1
FBXO9	0.5341279571925136	1.108046239561372	0.241	0.438	0.45848769364588393	2.469441241971092e-6	0.04902087809436815
SH3PXD2A	0.11018383578502239	0.5222660049253264	0.044	0.214	0.45542188854242155	5.17882172876588e-8	0.0010280479013773148
KIF5B	3.0218687232204204	4.499594816932835	0.695	0.848	0.45145934011044275	1.1315785789512379e-8	2.2462966370761023e-4
MEGF9	0.09287273421192598	0.49255512272684576	0.054	0.178	0.44965880582624174	1.7287616936794673e-5	0.34317648381231103
CFD	0.16800955827778474	0.5911389449856463	0.054	0.137	0.4460077430032614	0.0014050192659892204	1
GNAQ	1.2454850528402857	2.0588304432980653	0.424	0.604	0.44595301903055384	1.0253398559479806e-5	0.20354021480423362
LYSMD2	0.7515297535227302	1.3820414046034184	0.325	0.519	0.4435829946757508	2.2471847158071046e-6	0.04460886379348684
IQGAP1	3.3357572594137723	4.883720110021683	0.714	0.863	0.4404446302748548	4.7032190580967353e-8	9.336360152227829e-4
GIMAP4	0.010112483010666303	0.3692179987348525	0.01	0.099	0.43883620620233316	3.559560957072816e-5	0.7066084455885246
CD36	1.9209929296215078	2.9457652893238815	0.547	0.671	0.43384627498796235	9.354364390964835e-5	1
CENPE	0.2177373082753925	0.6431001843493033	0.069	0.127	0.43221750112843244	0.022382250600468372	1
BAZ1A	1.4220887144703451	2.2677078148908265	0.473	0.636	0.43202728137768887	1.5281278938935008e-5	0.30334866821679884
EPHB1	1.3469361792169723	2.165039242858943	0.419	0.598	0.4314447766777638	1.0759829200605666e-4	1
DNAJC3	1.9799135605752234	3.0178778773595454	0.542	0.731	0.4311632317736005	2.0583731719385937e-6	0.04086076583615302
SERPINB2	0.02615192944351446	0.38229806258436144	0.02	0.055	0.42982438663685646	0.039615221897153254	1
TXNIP	5.793885213986834	8.116331457853965	0.714	0.901	0.42421653667135795	3.589040847926739e-8	7.12460498721937e-4
ANTXR2	1.710576158433705	2.634579372149922	0.502	0.695	0.4231888689470975	4.7281821929281115e-6	0.09385914471181594
MARCHF7	1.1002916121312	1.8162214078619179	0.424	0.612	0.42317111051450196	4.573953723124619e-6	0.09079755535774682
MBP	2.3817874361961433	3.529314755214107	0.64	0.8	0.4215068185952324	1.4695052299576011e-6	0.02917114831988834
CAT	3.0819795929405314	4.464709401284987	0.675	0.871	0.42087580933421576	2.5397160968807796e-5	0.5041590423918035
NBPF14	0.2497446504444318	0.6725399881703882	0.118	0.283	0.42040735261615997	2.157187504395855e-6	0.04282232914976212
TNKS2	1.1654832966597464	1.8959522605680874	0.369	0.614	0.41934877566240303	2.750908369450927e-7	0.005460828204197035
PTPRC	4.841657545748902	6.808859231730675	0.783	0.919	0.41873401976958835	1.882137243920834e-5	0.3736230642907248
SERINC3	1.4464312657692364	2.2684256392031257	0.468	0.659	0.4179171246259139	4.066154843888301e-5	0.8071723980602666
USP1	1.0416829318669565	1.7235309888517505	0.291	0.493	0.41571944576532993	1.0663680681727211e-5	0.21168472521296688
CCR5	0.3599846828547135	0.8117509762001816	0.177	0.248	0.41379426879275444	0.018383632201536104	1
FAM111A	0.49919188761125927	0.9949811299051023	0.187	0.331	0.41219004891548283	1.2279742063594538e-4	1
IGLC3	0.035439732533903305	0.3778244625437099	0.02	0.109	0.412148513298095	9.9382831950031e-5	1
TLN1	4.424735245201425	6.19198842484308	0.798	0.923	0.406837970520884	5.5990558933476496e-9	1.111468585388442e-4
HLA-DQB1	4.133729261556184	5.805434617765726	0.764	0.859	0.4066800857510162	3.0802546223363827e-4	1
SLC5A3	0.5135142764135958	1.0017693691624467	0.217	0.356	0.403373482184214	3.3459765084937175e-4	1
C6orf62	1.7045040418674082	2.576453624440503	0.507	0.707	0.4031656807537911	6.332520452753501e-6	0.12570686350760976
PIAS1	0.8914746254930055	1.5010351161580284	0.35	0.552	0.4030138915596382	1.33721110745909e-6	0.026544977694170396
CTSH	0.4672186228983634	0.9361265930552681	0.143	0.206	0.4000894300872383	0.03909804517316109	1
TM9SF2	2.9932727878018373	4.26706581480021	0.754	0.871	0.39942785836299577	4.3099130723312777e-7	0.008555608439884819
AKIRIN1	1.1105802877364752	1.7828811466203367	0.433	0.62	0.3989395829593847	2.0497917528663568e-5	0.4069041608615005
BCL7A	1.8922958540016066	2.8043147993626536	0.567	0.743	0.39542149759645207	3.8372356597011784e-5	0.761729650807281
MYO9A	1.5406806385654273	2.341486111523629	0.419	0.566	0.39527483658895335	0.0016091541235177399	1
TMF1	1.0732396026698081	1.7257862563746529	0.379	0.56	0.3947855798532598	3.8296800140855354e-5	0.7602297795961196
CMKLR1	0.6222919598900227	1.1325848242233825	0.227	0.354	0.3945696451320275	0.001367512541830835	1
FLNA	0.7927637509599651	1.356253017069602	0.281	0.396	0.3943090822050972	0.0022427799679491183	1
TXLNA	0.4665537553213213	0.9258830416640446	0.212	0.42	0.3930901385134068	1.5827047358961427e-6	0.03141827171227433
TOP2B	2.4946535290671017	3.58665263839332	0.601	0.764	0.3922922223607863	6.451132546776242e-6	0.12806143218605517
SNX18	1.1745170425864324	1.852377546847655	0.389	0.602	0.39146993680772124	3.6906704325766376e-6	0.07326349875707883
TTC3	4.1089947242955684	5.697641109516467	0.764	0.873	0.3906136258980557	3.824001295526201e-5	0.7591024971749062
RUNX1	1.6527061811478339	2.4756674052011842	0.507	0.63	0.38982514514070266	5.450748184046616e-4	1
ITPRID2	0.43321077918719125	0.8772893763606525	0.197	0.345	0.38940025353875896	1.2445178861637186e-4	1
NBPF10	0.17348014724069383	0.5326793700791975	0.084	0.228	0.38526248820221753	8.932939003301923e-6	0.17732777215454648
SCN9A	2.8351291855228284	4.007165931263098	0.65	0.79	0.3847190899097559	3.2168083642452644e-6	0.06385686283863275
PLAAT3	1.052974661134963	1.679898408367468	0.325	0.41	0.3844624898607607	0.01181981257292784	1
PTBP3	4.062635070943993	5.608207784639494	0.783	0.903	0.3843705562774691	1.5024261302965288e-7	0.0029824661112516394
DST	0.906801349510395	1.4884592525241676	0.305	0.398	0.3840982121159391	0.018174498521070687	1
GSE1	0.1547986923943941	0.5052757622782557	0.079	0.21	0.38238642977358517	3.0024384388538817e-5	0.596014054496884
SLC25A37	0.3245261161870976	0.7211729219045393	0.128	0.257	0.3779157584366516	2.4594248513942687e-4	1
GRSF1	1.6221430050489607	2.406662709696735	0.517	0.691	0.37761274605215855	1.0999491540869976e-4	1
HEXB	0.558642609427694	1.0232721971369907	0.256	0.473	0.3764002615278791	2.5782184809281665e-7	0.0051180215064905036
SAMD9L	0.3309857819259634	0.7270649386658975	0.128	0.214	0.3758271701366444	0.0058742902926159045	1
MGST1	0.2697488181994961	0.6470610016579003	0.143	0.287	0.37535085748902636	3.476284077994485e-5	0.6900771523226852
ELF1	1.8450599728991175	2.6896120473670417	0.517	0.717	0.37501006444130325	4.213691658018099e-6	0.08364599310331729
XRN2	1.316422737916703	2.0019254389229997	0.443	0.628	0.3739895806542357	6.7175858018206465e-6	0.13335079575194164
SERPINB8	0.6375079978718522	1.1218028024499471	0.281	0.453	0.37378862727234263	4.1437913860681684e-05	0.8225840280483921
BIRC6	1.515644898568258	2.2587035900010273	0.458	0.64	0.37336984147430075	7.14003864158433e-5	1
ZEB2	4.7549379689811735	6.450791210643039	0.778	0.913	0.3725932576532949	4.1570574978933375e-6	0.08252174839068065
RIPOR2	2.511654443407526	3.5459407927198234	0.665	0.788	0.3724280076757869	6.994003182670509e-5	1
KDELR2	1.3260225062116258	2.0105357878350554	0.424	0.638	0.3721552114456119	1.5323372741271526e-6	0.030418427228698107
SLFN11	0.5686437807067865	1.0280260883510173	0.241	0.374	0.3705584395815721	0.0010162672047987309	1
KLF4	1.1248944403556196	1.7462031257568031	0.276	0.354	0.3700471664524936	0.058171147788995264	1
ARL6IP1	1.3322900722890967	2.0133780269746473	0.463	0.616	0.36963443875345114	2.8987986231976496e-4	1
NCBP2AS2	0.598794429059992	1.0641747350361117	0.256	0.473	0.3685806510519425	7.803410030688457e-7	0.015490549251919656
CEP350	1.5765397516239419	2.3256206565134763	0.448	0.634	0.3681887631595868	5.1645223696018e-5	1
DIAPH1	1.4558514203485304	2.1677003488973767	0.419	0.602	0.3672125890793534	4.643362888841856e-5	0.9217539670639969
SUDS3	0.42756587734936297	0.8413001093690303	0.202	0.386	0.3671674648432359	5.433574002010752e-6	0.10786187751391543
NCAPD3	0.23981488047767	0.5972014348393719	0.128	0.248	0.3654215484421261	2.916342565790667e-4	1
KCTD12	0.9347317530245447	1.491778975546085	0.305	0.43	0.36504255162982857	0.002971630174365755	1
CCR1	0.19556142913374444	0.5392738425690249	0.069	0.222	0.3645616562804181	2.428073211630653e-6	0.04819968132408009
KIF11	0.14083342952232372	0.4683589291566314	0.054	0.117	0.3641165047024003	0.009294179891544385	1
CLEC12A	0.4914444928735525	0.9173917249028402	0.187	0.295	0.36243482519427883	0.0036700706305413623	1
DCAF12	0.5009034803533121	0.9288443996641408	0.217	0.352	0.36190556198384216	7.273875406505193e-4	1
ANKRD17	0.7718567617943158	1.2740404460779209	0.315	0.499	0.35999593415177045	2.0531237927454445e-5	0.4075656040978982
CDH23	0.6230784688445445	1.0796447928367732	0.217	0.394	0.3576043847806444	5.8266815968950963e-5	1
LYST	0.36512877057093956	0.749097290166129	0.118	0.216	0.3575734937768269	0.0036606693571774574	1
LNPEP	1.566584141585886	2.288265760920073	0.483	0.681	0.3574773458821354	6.92768811221104e-5	1
GADD45A	0.48412476071736776	0.9013137473951384	0.163	0.297	0.3573842445054044	4.807403745071272e-4	1
IGLL1	1.2320944807903251	1.8577925407590068	0.138	0.19	0.35650309359885757	0.10277632437994769	1
EPS8L2	0.2933359552456964	0.6553773236562604	0.113	0.246	0.35606302337064344	9.89970931924371e-5	1
PPFIA1	0.27667224175170063	0.6332392614268799	0.133	0.259	0.35534796249740597	3.3493007385419706e-4	1
IL10RA	1.0179777844697473	1.5794310105789424	0.325	0.525	0.35414256852903314	1.150205534631952e-5	0.2283273006797888
ZNF148	0.7206835329414948	1.1992476852124334	0.291	0.465	0.3540283113640522	1.1022607740802575e-4	1
TMEM165	0.9189524445378024	1.4506435177788337	0.369	0.539	0.3528416790877442	3.0766059972508665e-5	0.6107370565142696
PIK3R1	1.2636935860065124	1.890653787245184	0.394	0.604	0.3527171400897049	5.693312567480631e-7	0.0113017947777058
GNLY	0.31496166240671264	0.6787494697124938	0.025	0.103	0.3523662054488838	5.977520710932425e-4	1
PLEKHD1	0.04966130063947786	0.3396582734301914	0.025	0.087	0.3519411564247024	0.0028275561355978083	1
TGOLN2	1.853680171752355	2.6419418832224566	0.537	0.719	0.3518842477036721	1.327070132423392e-6	0.026343669198736753
NCF2	0.12184186666788818	0.4309013398402715	0.074	0.141	0.3510548722515718	0.00970527751608374	1
MYCL	0.4464467544393349	0.8446051663235229	0.192	0.352	0.35079882684225616	6.483404642637348e-5	1
DR1	1.256198147984484	1.8714677133642965	0.438	0.636	0.347894563907275	7.088330811563688e-6	0.14071045494035078
CHCHD7	0.9033773782022037	1.4223987397037348	0.365	0.515	0.3478747300891428	1.4216894290434501e-4	1
CX3CR1	0.011640676131335398	0.2870751589511033	0.01	0.097	0.34739935113582565	4.771005006569259e-5	0.9470922038540636
PCBP2	4.333664674898231	5.785191657459089	0.803	0.915	0.347262441057099	4.0273344958387895e-7	0.00799466170768958
HLA-DRA	35.96857066753659	46.02108105460199	1	1	0.3470084431202638	5.177757418548603e-12	1.0278366251560832e-7
BTN3A3	0.09225058537598992	0.3886705220493516	0.054	0.172	0.346400465060578	3.5342533066095044e-5	0.7015846238950527
IFNAR1	1.5984749116365935	2.301002243594148	0.512	0.665	0.34523898931466834	2.781298360220281e-4	1
CTSC	5.661318591026325	7.45975893022768	0.823	0.941	0.34480876944199146	4.6187982003693907e-4	1
MACF1	2.061948085314184	2.888414201431714	0.507	0.608	0.34473208335263905	0.003238998306447363	1
TPP1	1.9437242465282165	2.7368057873883522	0.576	0.735	0.34416305141449555	3.888821130688978e-5	0.7719698826530691
H1-0	0.5221325909740349	0.9309092978908733	0.148	0.257	0.3431863614517916	0.0024401431339123483	1
FCGR2A	0.03565884958403923	0.313555141642514	0.02	0.111	0.34292791312482696	7.743635462955042e-5	1
LMAN1	2.322730294768326	3.2102444448805025	0.576	0.762	0.34153480337501274	6.5239466799091644e-6	0.12950686554287683
GZMH	0.12484615759722494	0.42493727427664724	0.049	0.139	0.341170712122542	6.938495087141241e-4	1
BCL2	0.5673137975907528	0.9852204634898482	0.163	0.261	0.3410051750600088	0.0041064163524201025	1
FEZ2	1.2130420154070838	1.800767411765206	0.453	0.574	0.33979133905851255	0.0033062582213368784	1
GRAMD1B	1.5286447742680582	2.1998465594656165	0.463	0.61	0.3396383455277143	6.448487005929705e-4	1
SPN	1.8913078926615785	2.6559623156159518	0.463	0.659	0.3385289514401786	8.595016061100183e-6	0.17061966382889973
MIS18BP1	2.7018814356855243	3.679087510428653	0.665	0.749	0.33796852175717307	3.940920394737336e-4	1
LARP4B	0.9424907818780075	1.4548164899978946	0.34	0.499	0.3377074274721177	2.74025171247819e-4	1
HACD2	0.47937036881352224	0.8694201048914805	0.207	0.329	0.3376075301495106	0.002410218471618007	1
MAVS	0.4476832654357535	0.8286976492602427	0.197	0.337	0.3370705707001882	3.247451164819982e-4	1
CLCN3	0.5088450214818416	0.9036136464166568	0.197	0.347	0.3352960724401529	1.9219595193011894e-4	1
MYO1E	1.0012833812441193	1.5232987236605455	0.374	0.432	0.3343855445806798	0.07760399171997184	1
OSBPL11	0.6429360561699173	1.070006311766202	0.276	0.42	0.3333588357060212	2.348374142790528e-4	1
RAD21	2.023391232180998	2.8085952713647675	0.522	0.677	0.33309130659038577	0.002157859145345599	1
TOP1	2.6384316335626523	3.5819071110118483	0.586	0.792	0.3326315085875151	1.1740710621709644e-5	0.23306484655155812
BAZ1B	1.3734026023486074	1.9842329252656967	0.394	0.576	0.33040329827547654	8.071885029297306e-5	1
CCNL2	0.7197321482424467	1.16181358279452	0.271	0.434	0.3300582424035562	2.005775319756713e-4	1
RHOU	0.206782705044119	0.5168298491691101	0.094	0.186	0.3298933341023049	0.0020365200213907212	1
ZKSCAN1	1.1000260731888996	1.638921995935266	0.365	0.523	0.32954146657967853	9.813687214374906e-5	1
FAM78A	0.08538138057307992	0.36356097456340863	0.059	0.198	0.3291771499509744	3.2367814929480084e-6	0.06425334941651091
CDK5RAP3	0.5099451284457854	0.896739946629961	0.236	0.368	0.3290257681422162	7.297876895529632e-4	1
LRRC58	0.7528878836556991	1.199315788379774	0.251	0.463	0.3273210452580656	1.0895915101882384e-5	0.21629481068746723
RB1CC1	1.1089704136790732	1.645646580457569	0.36	0.549	0.32708149561507205	7.109359230291635e-5	1
EFCAB14	1.1879089036121133	1.7443488034230958	0.443	0.582	0.32691118703800637	0.0011469632377784729	1
H1-2	2.89692230557176	3.887667195953299	0.562	0.626	0.3268108863411352	0.02330426345092804	1
ALKBH5	0.5395709299109235	0.9306865055740602	0.241	0.402	0.3265855906578815	4.802900159190044e-5	0.9534237106008155
VPS35	1.036767618199192	1.5533593640284409	0.394	0.517	0.3261152116564736	0.0027149001714613765	1
CAB39	0.5970520019963909	1.001857858898989	0.286	0.386	0.3259282503813825	0.010988422419375471	1
ARHGAP9	1.4186944535753527	2.0308445948180225	0.438	0.608	0.3254913509988997	3.81418340017123e-4	1
ZBTB20	0.693525282000591	1.1215545983247706	0.286	0.362	0.32509228249966315	0.030686944239034786	1
IRF2BP2	6.872597690442013	8.862268713014508	0.862	0.949	0.3250798071084442	1.7118188832145008e-6	0.033981316650691054
HERC4	0.3172398925660178	0.6492390752600907	0.172	0.303	0.32428243869754186	2.7632062712885783e-4	1
BCL11A	8.976612555065268	11.486962777291591	0.877	0.96	0.32380065755205045	1.469906318635974e-5	0.2917911033124272
MON1B	0.3950683151013018	0.7451535471595548	0.167	0.285	0.32301820627896005	9.021988020140254e-4	1
GIGYF2	0.612196209698737	1.0158377788212731	0.251	0.396	0.32235220964714684	7.146800886274984e-4	1
CGGBP1	1.105343237876872	1.632314565609196	0.429	0.57	0.32227644601331185	4.653391974266139e-4	1
TYK2	0.34163538001498356	0.6770221337845288	0.163	0.303	0.3219090905442042	1.8923406129565688e-4	1
MSN	1.6365519140202478	2.2952369142041524	0.453	0.626	0.32172978906550864	3.399152641912912e-4	1
PBRM1	1.9713397324679807	2.7127191927251983	0.547	0.703	0.32136263547892296	1.578141118068283e-4	1
DDX17	7.7556999634468395	9.940244453564267	0.941	0.962	0.3213505518673876	2.2791965192322813e-8	4.5244330103280016e-4
PARP8	0.597180277416589	0.9955782976955934	0.251	0.341	0.3212797227014227	0.01678187907462619	1
ATXN7L3B	1.8846933683768579	2.6025495528285796	0.542	0.711	0.32060030053041166	4.2710018290606134e-5	0.8478365730868224
SYNE1	0.2627291106026247	0.5761769296843731	0.113	0.212	0.3198843145200643	0.001932711237280991	1
KNL1	0.16556527480025382	0.45405131794503106	0.059	0.117	0.31904838575899214	0.01950647947076234	1
PTEN	2.190213533472958	2.9779376817993723	0.601	0.752	0.3183676827048145	8.518472058332096e-5	1
CCAR1	1.1474956094984916	1.6771254162239388	0.414	0.554	0.3180295451848565	0.0028321857491582433	1
RGS16	0.07274122023114822	0.33680966804956747	0.039	0.115	0.3174919788743399	0.0015306578571311954	1
TBCC	0.7496953961983774	1.1793589227745425	0.31	0.471	0.3168000305274604	1.5236570313886696e-4	1
STAT3	1.0760371905726427	1.5853304668843058	0.419	0.566	0.31651641448277323	2.973037573794254e-4	1
NRDC	2.32525344949422	3.137264500562266	0.606	0.802	0.31521288739724773	2.254480861435533e-5	0.44753699580356765
BPTF	3.1723305012117247	4.190063236375533	0.67	0.822	0.3148986746342626	1.11338794406571e-5	0.2210186407764841
KAT6A	0.9837903751188725	1.467027917946334	0.345	0.503	0.3145144560579942	0.0010275142468413102	1
CD14	0.009243570594308645	0.2545602480177461	0.01	0.071	0.31390735913523915	0.0010110512015939278	1
ATP11A	0.11353917084786949	0.3833627756663655	0.064	0.19	0.3130272326294601	2.2994487893161182e-5	0.45646357916714264
ARHGAP30	1.8098007603462936	2.489182902659045	0.552	0.681	0.31242139118950973	0.003724121368708429	1
TRAM1	5.441791607438004	6.9986042147298795	0.852	0.925	0.3122862763221801	3.839571929414095e-4	1
SMARCC1	1.5414670786222568	2.1553388930592035	0.483	0.588	0.31213342071212	0.004586158413327842	1
FCRLA	0.8420154246405509	1.286848827647686	0.251	0.313	0.3120758571156692	0.11681606380533348	1
CPEB4	0.31291053000680247	0.6296726069886905	0.133	0.279	0.311813558151022	7.827909228287744e-5	1
TNFAIP2	0.07964138456079334	0.33987751536612715	0.039	0.095	0.31154893900755454	0.011336173712597352	1
NCOA4	1.9514684324214389	2.662872865662344	0.537	0.651	0.3115427160871336	0.0029430635051373205	1
FAM13B	0.4853444182553449	0.8417693998871053	0.197	0.388	0.31029494039418004	1.05169288497493e-5	0.20877155459637334
APAF1	0.45872838411233086	0.8082896602509679	0.197	0.331	0.30991451607772824	5.109906497787797e-4	1
SELL	6.171630299455449	7.88898611895736	0.872	0.952	0.3097177555194439	5.539839442935718e-7	0.010997135278171694
HLA-DOA	0.7220221659867323	1.1334244991089133	0.305	0.388	0.3090673418192682	0.018341514139770004	1
ZFC3H1	1.374867849308181	1.940286765938142	0.443	0.636	0.30810963165743943	1.076834482363689e-4	1
DAXX	0.3647537119819417	0.6895246399074644	0.197	0.319	0.30797676975368465	6.987186797972753e-4	1
HDGF	1.2898907876562833	1.8339090918760892	0.468	0.61	0.30751468607312704	6.81413492958234e-4	1
ATL3	0.5524235651677236	0.9199710668618664	0.236	0.376	0.3065623323816249	3.3673111067758564e-4	1
TPST2	0.6068144133350762	0.9870260086213153	0.217	0.382	0.306407448747556	1.0967377050029768e-4	1
RNF144B	0.6360037994351172	1.02302226659727	0.241	0.414	0.3063361003703151	3.926707792307802e-5	0.7794907638510218
YTHDF3	0.46269472245061327	0.8080091103917405	0.207	0.352	0.3057732499215029	2.978285833162337e-4	1
NIPBL	2.03660710373307	2.751796313098711	0.567	0.681	0.30512125016788083	0.001939318052655224	1
FYB1	2.842684687589268	3.7460539677491598	0.616	0.752	0.30461390505192565	1.7627032747577162e-4	1
PLBD1	0.027850083282052563	0.2694591150982348	0.015	0.069	0.3045840754095406	0.003583186478421805	1
CD4	3.286698963820709	4.293379938946308	0.586	0.687	0.3043221023957057	0.002310649699818978	1
AMIGO2	0.3807431358220104	0.7049733945806665	0.172	0.291	0.30430427148996764	0.0013773427752398477	1
C12orf57	4.442030925518122	5.719082786769802	0.739	0.826	0.30411915098836895	8.505895257102997e-4	1
